Winner,First Pick,Second Pick,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,Ban 7,Ban 8,Pick 1,Pick 2,Pick 3,Pick 4,Ban 9,Ban 10,Pick 5,Pick 6,Pick 7,Pick 8,Ban 11,Ban 12,Pick 9,Pick 10
Team Spirit,Team Spirit,Cyber Legacy,oracle,chen,centaur-warrunner,timbersaw,dragon-knight,ember-spirit,shadow-demon,bristleback,grimstroke,mars,phoenix,treant-protector,death-prophet,faceless-void,weaver,riki,enigma,void-spirit,batrider,monkey-king,beastmaster,troll-warlord
Team Spirit,Cyber Legacy,Team Spirit,chen,shadow-demon,treant-protector,oracle,timbersaw,grimstroke,tusk,phoenix,ember-spirit,keeper-of-the-light,bristleback,death-prophet,lycan,necrophos,nyx-assassin,earth-spirit,clinkz,dragon-knight,slark,broodmother,witch-doctor,meepo
VP.Prodigy,VP.Prodigy,FlyToMoon,batrider,mars,lycan,centaur-warrunner,death-prophet,ember-spirit,undying,shadow-demon,pangolier,grimstroke,beastmaster,chen,riki,troll-warlord,lich,phoenix,faceless-void,alchemist,kunkka,timbersaw,dragon-knight,necrophos
VP.Prodigy,VP.Prodigy,FlyToMoon,batrider,mars,lycan,centaur-warrunner,death-prophet,ember-spirit,undying,shadow-demon,pangolier,grimstroke,beastmaster,enchantress,riki,troll-warlord,lich,phoenix,faceless-void,kunkka,phantom-lancer,storm-spirit,morphling,outworld-devourer
VP.Prodigy,VP.Prodigy,Cyber Legacy,death-prophet,shadow-demon,lycan,ember-spirit,chen,mars,weaver,timbersaw,phoenix,grimstroke,pangolier,axe,wraith-king,phantom-lancer,pugna,oracle,ursa,faceless-void,huskar,beastmaster,kunkka,storm-spirit
VP.Prodigy,VP.Prodigy,Cyber Legacy,chen,mars,lycan,timbersaw,death-prophet,shadow-demon,weaver,ember-spirit,phoenix,dragon-knight,grimstroke,axe,centaur-warrunner,faceless-void,mirana,treant-protector,ursa,slark,monkey-king,queen-of-pain,razor,sniper
Virtus.pro,Virtus.pro,B8,shadow-demon,techies,death-prophet,oracle,timbersaw,ember-spirit,batrider,bristleback,keeper-of-the-light,grimstroke,chen,phoenix,weaver,storm-spirit,earth-spirit,axe,wraith-king,phantom-lancer,natures-prophet,broodmother,invoker,kunkka
Virtus.pro,Virtus.pro,B8,death-prophet,oracle,batrider,ember-spirit,timbersaw,bristleback,shadow-demon,phantom-lancer,keeper-of-the-light,natures-prophet,tusk,troll-warlord,razor,storm-spirit,ancient-apparition,earth-spirit,pugna,weaver,lycan,meepo,dark-seer,earthshaker
Winstrike Team,Cyber Legacy,Winstrike Team,chen,death-prophet,pangolier,dragon-knight,bounty-hunter,keeper-of-the-light,timbersaw,bristleback,ember-spirit,grimstroke,mars,shadow-demon,weaver,necrophos,phoenix,snapfire,lycan,terrorblade,axe,storm-spirit,underlord,queen-of-pain
Cyber Legacy,Cyber Legacy,Winstrike Team,chen,death-prophet,timbersaw,dragon-knight,pangolier,bristleback,mars,keeper-of-the-light,ember-spirit,grimstroke,lycan,phoenix,storm-spirit,axe,bounty-hunter,treant-protector,beastmaster,troll-warlord,centaur-warrunner,necrophos,legion-commander,morphling
Winstrike,Winstrike Team,Cyber Legacy,dragon-knight,timbersaw,death-prophet,chen,shadow-demon,keeper-of-the-light,bristleback,lycan,ember-spirit,grimstroke,mars,enchantress,phoenix,riki,tusk,dark-willow,natures-prophet,beastmaster,morphling,necrophos,phantom-assassin,storm-spirit
VP.Prodigy,Team Unique,VP.Prodigy,pugna,timbersaw,phoenix,chen,ember-spirit,keeper-of-the-light,grimstroke,shadow-demon,natures-prophet,mars,weaver,dragon-knight,batrider,razor,witch-doctor,snapfire,monkey-king,rubick,venomancer,kunkka,necrophos,storm-spirit
VP.Prodigy,VP.Prodigy,Team Unique,chen,keeper-of-the-light,timbersaw,ember-spirit,weaver,phoenix,grimstroke,natures-prophet,shadow-demon,pugna,dragon-knight,death-prophet,pangolier,phantom-lancer,enigma,treant-protector,beastmaster,naga-siren,mars,alchemist,sand-king,sniper
Team Spirit,Team Spirit,Winstrike Team,lycan,death-prophet,bounty-hunter,pangolier,tusk,chen,ember-spirit,riki,keeper-of-the-light,grimstroke,bristleback,timbersaw,monkey-king,earth-spirit,earthshaker,clockwerk,shadow-fiend,kunkka,slark,batrider,troll-warlord,venomancer
Team Spirit,Winstrike Team,Team Spirit,pangolier,lycan,death-prophet,tusk,chen,keeper-of-the-light,timbersaw,bounty-hunter,grimstroke,ember-spirit,shadow-demon,riki,batrider,invoker,earth-spirit,earthshaker,bristleback,storm-spirit,enchantress,beastmaster,underlord,slardar
Cyber Legacy,Cyber Legacy,FlyToMoon,pangolier,weaver,death-prophet,timbersaw,shadow-demon,ember-spirit,tusk,beastmaster,oracle,batrider,bounty-hunter,centaur-warrunner,riki,slark,bane,rubick,dragon-knight,necrophos,lifestealer,leshrac,phantom-lancer,lycan
FlyToMoon,FlyToMoon,Cyber Legacy,centaur-warrunner,ember-spirit,shadow-demon,pangolier,death-prophet,batrider,timbersaw,beastmaster,oracle,dragon-knight,snapfire,enigma,rubick,necrophos,bounty-hunter,tusk,weaver,slark,huskar,lycan,leshrac,storm-spirit
Cyber Legacy,FlyToMoon,Cyber Legacy,centaur-warrunner,pangolier,death-prophet,ember-spirit,timbersaw,batrider,shadow-demon,beastmaster,oracle,tusk,dragon-knight,necrophos,ancient-apparition,slark,weaver,earthshaker,grimstroke,phantom-lancer,shadow-fiend,leshrac,natures-prophet,storm-spirit
Virtus.pro,Virtus.pro,Team Unique,shadow-demon,techies,lycan,oracle,timbersaw,keeper-of-the-light,death-prophet,ember-spirit,grimstroke,pugna,pangolier,treant-protector,batrider,storm-spirit,beastmaster,natures-prophet,troll-warlord,legion-commander,slark,templar-assassin,luna,kunkka
Virtus.pro,Team Unique,Virtus.pro,natures-prophet,timbersaw,oracle,lycan,grimstroke,keeper-of-the-light,ember-spirit,batrider,pangolier,shadow-demon,death-prophet,ancient-apparition,luna,lone-druid,treant-protector,dark-seer,juggernaut,wraith-king,shadow-fiend,storm-spirit,sniper,beastmaster
VP.Prodigy,Team Spirit,VP.Prodigy,ember-spirit,chen,mars,timbersaw,riki,lycan,centaur-warrunner,death-prophet,shadow-demon,grimstroke,pangolier,dragon-knight,batrider,beastmaster,pugna,earth-spirit,monkey-king,shadow-fiend,weaver,templar-assassin,venomancer,phantom-lancer
VP.Prodigy,VP.Prodigy,Team Spirit,chen,shadow-demon,timbersaw,ember-spirit,lycan,pangolier,death-prophet,razor,mars,mirana,oracle,phoenix,axe,monkey-king,dragon-knight,grimstroke,beastmaster,troll-warlord,kunkka,meepo,bristleback,storm-spirit
FlyToMoon,Winstrike Team,FlyToMoon,pangolier,lycan,batrider,chen,death-prophet,keeper-of-the-light,shadow-demon,timbersaw,grimstroke,ember-spirit,oracle,bounty-hunter,phantom-lancer,riki,clockwerk,tusk,bristleback,dragon-knight,void-spirit,enigma,queen-of-pain,troll-warlord
FlyToMoon,Winstrike Team,FlyToMoon,pangolier,keeper-of-the-light,batrider,chen,death-prophet,lycan,oracle,timbersaw,grimstroke,ember-spirit,bounty-hunter,bristleback,slark,mars,lich,earth-spirit,pugna,brewmaster,shadow-fiend,riki,invoker,templar-assassin
Team Spirit,B8,Team Spirit,pangolier,keeper-of-the-light,grimstroke,shadow-demon,timbersaw,natures-prophet,ember-spirit,tusk,mars,mirana,axe,dragon-knight,monkey-king,oracle,witch-doctor,lich,ursa,batrider,clockwerk,huskar,earthshaker,slark
Team Spirit,Team Spirit,B8,centaur-warrunner,timbersaw,natures-prophet,grimstroke,mars,pangolier,tusk,ember-spirit,keeper-of-the-light,axe,mirana,bristleback,dragon-knight,shadow-demon,death-prophet,earth-spirit,dazzle,lina,beastmaster,phantom-lancer,weaver,morphling
Virtus.pro,Team Spirit,Virtus.pro,techies,keeper-of-the-light,oracle,shadow-demon,ember-spirit,chen,pangolier,earth-spirit,phoenix,batrider,weaver,faceless-void,beastmaster,axe,centaur-warrunner,grimstroke,natures-prophet,timbersaw,meepo,monkey-king,kunkka,templar-assassin
Virtus.pro,Team Spirit,Virtus.pro,techies,timbersaw,oracle,lycan,ember-spirit,chen,pangolier,keeper-of-the-light,mars,mirana,earth-spirit,phoenix,juggernaut,death-prophet,omniknight,ogre-magi,batrider,slark,meepo,templar-assassin,void-spirit,monkey-king
FlyToMoon,B8,FlyToMoon,shadow-demon,keeper-of-the-light,grimstroke,mars,pangolier,timbersaw,rubick,chen,snapfire,oracle,batrider,queen-of-pain,dragon-knight,legion-commander,nyx-assassin,tusk,phantom-lancer,natures-prophet,lifestealer,kunkka,faceless-void,death-prophet
FlyToMoon,B8,FlyToMoon,shadow-demon,keeper-of-the-light,pangolier,timbersaw,grimstroke,chen,rubick,mars,oracle,nyx-assassin,death-prophet,centaur-warrunner,gyrocopter,phantom-lancer,phoenix,dragon-knight,slark,ancient-apparition,faceless-void,storm-spirit,natures-prophet,ember-spirit
B8,B8,Winstrike Team,lycan,dragon-knight,beastmaster,natures-prophet,phoenix,axe,mars,timbersaw,keeper-of-the-light,grimstroke,ember-spirit,bristleback,lich,queen-of-pain,nyx-assassin,tusk,dazzle,morphling,legion-commander,outworld-devourer,void-spirit,templar-assassin
Winstrike Team,Winstrike Team,B8,dragon-knight,phoenix,natures-prophet,lycan,axe,keeper-of-the-light,mars,ember-spirit,grimstroke,chen,pangolier,riki,batrider,storm-spirit,tusk,bounty-hunter,terrorblade,timbersaw,queen-of-pain,lina,invoker,broodmother
Winstrike Team,Winstrike Team,B8,dragon-knight,lycan,natures-prophet,keeper-of-the-light,axe,ember-spirit,mars,riki,grimstroke,pangolier,tusk,bounty-hunter,morphling,storm-spirit,chen,bloodseeker,terrorblade,timbersaw,queen-of-pain,lina,invoker,kunkka
VP.Prodigy,Winstrike Team,VP.Prodigy,death-prophet,chen,shadow-demon,keeper-of-the-light,timbersaw,lycan,grimstroke,beastmaster,tusk,ember-spirit,phoenix,bristleback,slark,morphling,pugna,io,mars,natures-prophet,batrider,phantom-lancer,huskar,sniper
VP.Prodigy,Winstrike Team,VP.Prodigy,death-prophet,chen,shadow-demon,keeper-of-the-light,phoenix,lycan,grimstroke,timbersaw,ember-spirit,beastmaster,disruptor,enchantress,morphling,natures-prophet,dark-willow,nyx-assassin,riki,dragon-knight,batrider,monkey-king,underlord,slark
Virtus.pro,VP.Prodigy,Virtus.pro,chen,death-prophet,keeper-of-the-light,lycan,axe,timbersaw,phoenix,rubick,shadow-demon,ember-spirit,oracle,abaddon,enigma,alchemist,mars,grimstroke,techies,razor,riki,queen-of-pain,phantom-lancer,sniper
Virtus.pro,Virtus.pro,VP.Prodigy,death-prophet,chen,lycan,keeper-of-the-light,timbersaw,ember-spirit,shadow-demon,phoenix,oracle,grimstroke,mars,pangolier,riki,enigma,pugna,weaver,void-spirit,anti-mage,necrophos,troll-warlord,monkey-king,slark
Cyber Legacy,B8,Cyber Legacy,ember-spirit,chen,weaver,mars,axe,timbersaw,shadow-demon,pangolier,phoenix,death-prophet,centaur-warrunner,dragon-knight,oracle,queen-of-pain,keeper-of-the-light,lycan,snapfire,witch-doctor,batrider,medusa,lina,kunkka
B8,Cyber Legacy,B8,dragon-knight,phoenix,mars,ember-spirit,pangolier,batrider,death-prophet,chen,centaur-warrunner,queen-of-pain,snapfire,weaver,faceless-void,grimstroke,timbersaw,witch-doctor,earthshaker,monkey-king,puck,meepo,pugna,natures-prophet
Cyber Legacy,B8,Cyber Legacy,ember-spirit,timbersaw,weaver,chen,lycan,pangolier,shadow-demon,mars,phoenix,death-prophet,centaur-warrunner,queen-of-pain,oracle,beastmaster,snapfire,axe,bane,phantom-lancer,disruptor,alchemist,jakiro,troll-warlord
CDEC,CDEC,EHOME,clinkz,timbersaw,ursa,venomancer,grimstroke,batrider,dragon-knight,shadow-demon,treant-protector,earthshaker,queen-of-pain,rubick,beastmaster,viper,jakiro,puck,naga-siren,underlord,lifestealer,templar-assassin,spectre,necrophos
EHOME,CDEC,EHOME,dragon-knight,venomancer,clinkz,batrider,ursa,mars,grimstroke,treant-protector,vengeful-spirit,phoenix,witch-doctor,weaver,kunkka,chen,beastmaster,tusk,ember-spirit,morphling,queen-of-pain,phantom-lancer,necrophos,medusa
CDEC,EHOME,CDEC,batrider,clinkz,venomancer,ursa,timbersaw,treant-protector,mars,beastmaster,vengeful-spirit,earthshaker,queen-of-pain,dragon-knight,monkey-king,medusa,lich,phoenix,doom,lycan,centaur-warrunner,troll-warlord,natures-prophet,sven
PSG.LGD,Team Aster,PSG.LGD,ember-spirit,io,chen,mars,queen-of-pain,vengeful-spirit,keeper-of-the-light,tusk,shadow-demon,dragon-knight,ancient-apparition,beastmaster,phantom-lancer,phoenix,earthshaker,clockwerk,lycan,kunkka,naga-siren,timbersaw,gyrocopter,dazzle
PSG.LGD,PSG.LGD,Team Aster,io,chen,mars,vengeful-spirit,centaur-warrunner,earthshaker,nyx-assassin,ember-spirit,queen-of-pain,dragon-knight,oracle,phoenix,morphling,beastmaster,snapfire,ogre-magi,tusk,ursa,enigma,troll-warlord,brewmaster,faceless-void
Royal Never Give Up,Royal Never Give Up,Longinus,death-prophet,mars,keeper-of-the-light,chen,shadow-demon,treant-protector,beastmaster,timbersaw,tusk,ember-spirit,lich,oracle,lycan,dragon-knight,pangolier,void-spirit,enigma,monkey-king,tidehunter,templar-assassin,vengeful-spirit,spectre
business associates,Quincy Crew,business associates,queen-of-pain,void-spirit,chen,enchantress,dragon-knight,ember-spirit,death-prophet,naga-siren,phoenix,beastmaster,weaver,legion-commander,ursa,kunkka,undying,lich,enigma,storm-spirit,gyrocopter,troll-warlord,natures-prophet,nyx-assassin
Quincy Crew,business associates,Quincy Crew,invoker,chen,naga-siren,queen-of-pain,ember-spirit,beastmaster,void-spirit,dragon-knight,death-prophet,shadow-demon,mirana,earthshaker,natures-prophet,enigma,clockwerk,undying,batrider,weaver,abaddon,riki,storm-spirit,luna
Quincy Crew,Quincy Crew,business associates,chen,shadow-demon,queen-of-pain,ember-spirit,beastmaster,enchantress,dragon-knight,void-spirit,phoenix,death-prophet,nyx-assassin,clockwerk,enigma,naga-siren,natures-prophet,mirana,abaddon,terrorblade,winter-wyvern,batrider,rubick,ursa
Vikin.gg,Team Liquid,ViKin.gg,lycan,phoenix,chen,dragon-knight,enchantress,grimstroke,beastmaster,ember-spirit,rubick,vengeful-spirit,earthshaker,mars,riki,terrorblade,luna,jakiro,necrophos,storm-spirit,morphling,queen-of-pain,troll-warlord,templar-assassin
Vikin.gg,ViKin.gg,Team Liquid,phoenix,lycan,ember-spirit,enchantress,mars,chen,beastmaster,necrophos,dragon-knight,grimstroke,monkey-king,shadow-demon,timbersaw,queen-of-pain,rubick,vengeful-spirit,centaur-warrunner,natures-prophet,luna,broodmother,shadow-fiend,lone-druid
Cyber Legacy,Cyber Legacy,Alliance,queen-of-pain,ember-spirit,dragon-knight,lycan,natures-prophet,shadow-demon,enchantress,axe,earthshaker,phoenix,death-prophet,oracle,mars,mirana,vengeful-spirit,beastmaster,legion-commander,luna,puck,terrorblade,leshrac,morphling
Alliance,Alliance,Cyber Legacy,lycan,ember-spirit,beastmaster,natures-prophet,oracle,shadow-demon,axe,queen-of-pain,dragon-knight,earthshaker,death-prophet,phoenix,weaver,spectre,enchantress,grimstroke,luna,brewmaster,faceless-void,timbersaw,juggernaut,enigma
Cyber Legacy,Cyber Legacy,Alliance,natures-prophet,earthshaker,dragon-knight,ember-spirit,enchantress,axe,oracle,lycan,queen-of-pain,kunkka,phoenix,bane,anti-mage,beastmaster,grimstroke,earth-spirit,death-prophet,troll-warlord,timbersaw,morphling,brewmaster,weaver
Nigma,Nigma,Natus Vincere,phoenix,chen,lycan,io,death-prophet,necrophos,queen-of-pain,ember-spirit,bane,dragon-knight,rubick,keeper-of-the-light,weaver,batrider,enchantress,sand-king,luna,pugna,terrorblade,broodmother,slark,storm-spirit
Nigma,Natus Vincere,Nigma,io,lycan,chen,death-prophet,keeper-of-the-light,queen-of-pain,necrophos,ember-spirit,dragon-knight,phoenix,bane,rubick,slark,weaver,mars,grimstroke,natures-prophet,juggernaut,lina,ursa,void-spirit,huskar
VP.Prodigy,HellRaisers,VP.Prodigy,phoenix,shadow-demon,rubick,void-spirit,death-prophet,ember-spirit,grimstroke,pangolier,oracle,queen-of-pain,dragon-knight,monkey-king,witch-doctor,timbersaw,earthshaker,weaver,bane,nyx-assassin,kunkka,phantom-lancer,templar-assassin,razor
VP.Prodigy,VP.Prodigy,HellRaisers,pangolier,shadow-demon,void-spirit,rubick,lycan,phoenix,dragon-knight,ember-spirit,oracle,death-prophet,weaver,queen-of-pain,riki,timbersaw,witch-doctor,earthshaker,chen,axe,phantom-lancer,alchemist,morphling,templar-assassin
OG,OG,FlyToMoon,rubick,ember-spirit,queen-of-pain,void-spirit,death-prophet,shadow-demon,lycan,chen,batrider,oracle,pangolier,grimstroke,broodmother,bloodseeker,weaver,nyx-assassin,slark,faceless-void,monkey-king,templar-assassin,tiny,kunkka
FlyToMoon,FlyToMoon,OG,void-spirit,rubick,chen,queen-of-pain,monkey-king,death-prophet,oracle,batrider,ember-spirit,earthshaker,enchantress,clockwerk,natures-prophet,lycan,luna,phoenix,abaddon,shadow-demon,bloodseeker,huskar,morphling,invoker
FlyToMoon,FlyToMoon,OG,void-spirit,queen-of-pain,monkey-king,rubick,chen,ember-spirit,oracle,batrider,phoenix,mirana,abaddon,shadow-demon,natures-prophet,clockwerk,leshrac,mars,centaur-warrunner,lycan,kunkka,troll-warlord,shadow-fiend,clinkz
Team Secret,Gambit Esports,Team Secret,queen-of-pain,phoenix,lycan,axe,dragon-knight,shadow-demon,chen,grimstroke,ember-spirit,necrophos,rubick,enchantress,lone-druid,batrider,bane,dark-willow,monkey-king,beastmaster,invoker,pugna,shadow-fiend,broodmother
Team Secret,Gambit Esports,Team Secret,dragon-knight,axe,queen-of-pain,phoenix,lycan,shadow-demon,rubick,grimstroke,ember-spirit,necrophos,enchantress,batrider,oracle,monkey-king,nyx-assassin,bane,abaddon,luna,earthshaker,broodmother,templar-assassin,huskar
Ninjas in Pyjamas,Winstrike Team,Ninjas in Pyjamas,pangolier,monkey-king,bristleback,mars,oracle,ember-spirit,weaver,phoenix,shadow-demon,lycan,jakiro,dragon-knight,beastmaster,kunkka,earthshaker,winter-wyvern,batrider,phantom-lancer,queen-of-pain,storm-spirit,timbersaw,tinker
Ninjas in Pyjamas,Winstrike Team,Ninjas in Pyjamas,pangolier,ember-spirit,earthshaker,mars,oracle,monkey-king,batrider,timbersaw,shadow-demon,phoenix,lycan,natures-prophet,templar-assassin,kunkka,winter-wyvern,jakiro,dragon-knight,tidehunter,ursa,storm-spirit,gyrocopter,morphling
TNC Predator,Reality Rift,TNC Predator,morphling,batrider,techies,timbersaw,death-prophet,troll-warlord,nyx-assassin,ember-spirit,vengeful-spirit,templar-assassin,earthshaker,monkey-king,beastmaster,clockwerk,natures-prophet,spirit-breaker,phoenix,snapfire,phantom-lancer,faceless-void,storm-spirit,queen-of-pain
Reality Rift,Reality Rift,TNC Predator,morphling,batrider,nyx-assassin,ember-spirit,templar-assassin,timbersaw,techies,troll-warlord,phoenix,natures-prophet,pangolier,faceless-void,beastmaster,kunkka,chen,grimstroke,dragon-knight,death-prophet,void-spirit,riki,clockwerk,lycan
TNC Predator,TNC Predator,Reality Rift,clockwerk,natures-prophet,batrider,morphling,timbersaw,techies,troll-warlord,templar-assassin,ember-spirit,shadow-fiend,nyx-assassin,chen,ancient-apparition,alchemist,grimstroke,enigma,kunkka,monkey-king,beastmaster,riki,lina,weaver
BOOM Esports,Adroit,BOOM Esports,timbersaw,chen,dragon-knight,batrider,ember-spirit,vengeful-spirit,void-spirit,beastmaster,pangolier,earthshaker,bane,pugna,riki,terrorblade,centaur-warrunner,oracle,morphling,troll-warlord,templar-assassin,invoker,tiny,mars
BOOM Esports,BOOM Esports,Adroit,chen,ember-spirit,vengeful-spirit,void-spirit,clockwerk,timbersaw,death-prophet,dragon-knight,earthshaker,terrorblade,oracle,pangolier,centaur-warrunner,grimstroke,enigma,jakiro,batrider,phantom-lancer,queen-of-pain,puck,storm-spirit,necrophos
Fnatic,Geek Fam,Fnatic,death-prophet,pangolier,monkey-king,venomancer,timbersaw,beastmaster,chen,ember-spirit,void-spirit,dragon-knight,ancient-apparition,batrider,faceless-void,lycan,nyx-assassin,rubick,phantom-lancer,juggernaut,centaur-warrunner,natures-prophet,grimstroke,storm-spirit
Fnatic,Fnatic,Geek Fam,death-prophet,dragon-knight,beastmaster,ember-spirit,pangolier,timbersaw,mars,lycan,earthshaker,clockwerk,queen-of-pain,morphling,ancient-apparition,razor,oracle,natures-prophet,troll-warlord,vengeful-spirit,void-spirit,necrophos,clinkz,shadow-fiend
Ninjas in Pyjamas,Ninjas in Pyjamas,Alliance,natures-prophet,lycan,phoenix,oracle,dragon-knight,ember-spirit,death-prophet,shadow-demon,earthshaker,queen-of-pain,bane,chen,morphling,enigma,mirana,puck,kunkka,necrophos,meepo,templar-assassin,spectre,anti-mage
Alliance,Ninjas in Pyjamas,Alliance,natures-prophet,lycan,phoenix,ember-spirit,dragon-knight,oracle,death-prophet,shadow-demon,earthshaker,queen-of-pain,rubick,puck,morphling,chen,bane,witch-doctor,kunkka,spectre,timbersaw,viper,necrophos,anti-mage
Ninjas in Pyjamas,Ninjas in Pyjamas,Alliance,natures-prophet,lycan,phoenix,ember-spirit,dragon-knight,oracle,death-prophet,shadow-demon,earthshaker,queen-of-pain,chen,witch-doctor,anti-mage,timbersaw,rubick,kunkka,axe,morphling,batrider,faceless-void,venomancer,slark
Winstrike Team,Winstrike Team,Cyber Legacy,axe,ember-spirit,dragon-knight,oracle,queen-of-pain,keeper-of-the-light,pangolier,centaur-warrunner,shadow-demon,natures-prophet,earthshaker,mars,riki,lycan,crystal-maiden,jakiro,luna,monkey-king,storm-spirit,batrider,spectre,chen
Cyber Legacy,Winstrike Team,Cyber Legacy,axe,ember-spirit,dragon-knight,keeper-of-the-light,death-prophet,oracle,queen-of-pain,lycan,shadow-demon,earthshaker,natures-prophet,mars,riki,spectre,crystal-maiden,jakiro,luna,monkey-king,morphling,batrider,troll-warlord,enigma
Cyber Legacy,Winstrike Team,Cyber Legacy,axe,ember-spirit,natures-prophet,keeper-of-the-light,queen-of-pain,lycan,dragon-knight,shadow-demon,phoenix,earthshaker,death-prophet,treant-protector,oracle,spectre,luna,monkey-king,enchantress,mars,troll-warlord,beastmaster,weaver,enigma
Vikin.gg,Gambit Esports,ViKin.gg,dragon-knight,void-spirit,phoenix,ember-spirit,lycan,keeper-of-the-light,grimstroke,axe,natures-prophet,enchantress,beastmaster,earthshaker,rubick,phantom-lancer,shadow-demon,jakiro,vengeful-spirit,queen-of-pain,troll-warlord,templar-assassin,naga-siren,tiny
Vikin.gg,ViKin.gg,Gambit Esports,void-spirit,phoenix,axe,dragon-knight,keeper-of-the-light,lycan,batrider,beastmaster,grimstroke,natures-prophet,rubick,riki,bane,shadow-demon,centaur-warrunner,enchantress,queen-of-pain,ember-spirit,timbersaw,spectre,enigma,meepo
Aggressive Mode,Team Unique,Aggressive Mode,chen,timbersaw,undying,natures-prophet,beastmaster,death-prophet,pugna,rubick,void-spirit,ember-spirit,grimstroke,oracle,earthshaker,shadow-demon,clockwerk,queen-of-pain,lycan,bristleback,keeper-of-the-light,slark,troll-warlord,razor
Aggressive Mode,Aggressive Mode,Team Unique,timbersaw,chen,death-prophet,lycan,rubick,beastmaster,tusk,undying,natures-prophet,ember-spirit,keeper-of-the-light,grimstroke,dragon-knight,riki,earthshaker,clockwerk,bristleback,necrophos,morphling,batrider,bounty-hunter,medusa
Team Secret,Team Liquid,Team Secret,enchantress,phoenix,necrophos,ember-spirit,chen,grimstroke,sniper,dragon-knight,shadow-demon,queen-of-pain,earthshaker,lone-druid,timbersaw,rubick,jakiro,witch-doctor,beastmaster,centaur-warrunner,void-spirit,lycan,clinkz,chaos-knight
Team Secret,Team Liquid,Team Secret,enchantress,phoenix,necrophos,grimstroke,chen,ember-spirit,sniper,dragon-knight,queen-of-pain,rubick,bane,witch-doctor,abaddon,monkey-king,void-spirit,tusk,kunkka,windranger,templar-assassin,phantom-lancer,morphling,troll-warlord
HellRaisers,HellRaisers,FlyToMoon,rubick,ember-spirit,batrider,void-spirit,death-prophet,weaver,queen-of-pain,shadow-demon,pangolier,grimstroke,bane,oracle,beastmaster,lycan,dragon-knight,monkey-king,morphling,elder-titan,lina,storm-spirit,shadow-fiend,enigma
HellRaisers,HellRaisers,FlyToMoon,rubick,ember-spirit,batrider,void-spirit,death-prophet,shadow-demon,queen-of-pain,weaver,pangolier,grimstroke,bane,oracle,dragon-knight,lycan,beastmaster,chen,phantom-lancer,leshrac,alchemist,kunkka,monkey-king,lina
Reality Rift,Reality Rift,BOOM Esports,terrorblade,ancient-apparition,naga-siren,batrider,morphling,pangolier,phantom-lancer,beastmaster,timbersaw,bane,faceless-void,vengeful-spirit,tiny,meepo,shadow-demon,weaver,void-spirit,templar-assassin,lycan,omniknight,slardar,ember-spirit
BOOM Esports,Reality Rift,BOOM Esports,terrorblade,timbersaw,naga-siren,batrider,morphling,slardar,phantom-lancer,meepo,beastmaster,ember-spirit,lich,vengeful-spirit,tiny,templar-assassin,earthshaker,sand-king,spectre,shadow-fiend,lycan,pangolier,riki,dragon-knight
Reality Rift,Reality Rift,BOOM Esports,naga-siren,timbersaw,phantom-lancer,batrider,morphling,meepo,nyx-assassin,ancient-apparition,ember-spirit,dragon-knight,earthshaker,keeper-of-the-light,phoenix,slardar,grimstroke,clockwerk,necrophos,shadow-fiend,legion-commander,templar-assassin,dazzle,phantom-assassin
Geek Fam,Adroit,Geek Fam,dragon-knight,death-prophet,batrider,clockwerk,grimstroke,morphling,earthshaker,riki,chen,ember-spirit,pangolier,shadow-fiend,templar-assassin,beastmaster,ancient-apparition,tiny,void-spirit,phantom-assassin,oracle,phantom-lancer,sand-king,spectre
Geek Fam,Geek Fam,Adroit,clockwerk,dragon-knight,death-prophet,void-spirit,phantom-lancer,batrider,pugna,pangolier,ember-spirit,grimstroke,beastmaster,lich,earthshaker,troll-warlord,shadow-fiend,shadow-demon,earth-spirit,phantom-assassin,timbersaw,morphling,centaur-warrunner,spectre
Fnatic,TNC Predator,Fnatic,ember-spirit,beastmaster,batrider,chen,oracle,death-prophet,timbersaw,bounty-hunter,grimstroke,earthshaker,natures-prophet,void-spirit,morphling,ancient-apparition,dragon-knight,pangolier,bane,phantom-assassin,underlord,alchemist,enigma,spectre
Fnatic,TNC Predator,Fnatic,batrider,beastmaster,ember-spirit,chen,timbersaw,bounty-hunter,grimstroke,earthshaker,natures-prophet,ancient-apparition,dragon-knight,pangolier,spectre,lycan,spirit-breaker,phoenix,faceless-void,phantom-lancer,storm-spirit,dark-seer,venomancer,snapfire
Geek Fam,Geek Fam,TNC Predator,chen,batrider,timbersaw,tusk,templar-assassin,grimstroke,morphling,ember-spirit,dragon-knight,enigma,pangolier,phoenix,natures-prophet,faceless-void,death-prophet,rubick,beastmaster,phantom-assassin,queen-of-pain,ursa,storm-spirit,medusa
Geek Fam,Geek Fam,TNC Predator,chen,batrider,timbersaw,grimstroke,templar-assassin,ember-spirit,death-prophet,phoenix,dragon-knight,enigma,tusk,pangolier,natures-prophet,queen-of-pain,monkey-king,disruptor,tidehunter,venomancer,morphling,shadow-fiend,luna,lycan
Adroit,Reality Rift,Adroit,beastmaster,clockwerk,dazzle,timbersaw,death-prophet,nyx-assassin,pugna,pangolier,ember-spirit,chen,shadow-fiend,ancient-apparition,riki,batrider,tiny,natures-prophet,sand-king,monkey-king,rubick,troll-warlord,void-spirit,terrorblade
